Company,Role,Date,URL
"Circa","(17) (Software Engineer OR Software Developer OR Full Stack Developer OR Backend Developer OR Frontend Developer) AND (Entry Level OR New Grad OR Junior OR Recent Graduate) Jobs","2026-01-06T00:02:31.655Z","https://www.linkedin.com/jobs/search/?currentJobId=4351257375&distance=25&geoId=103644278&keywords=(Software%20Engineer%20OR%20Software%20Developer%20OR%20Full%20Stack%20Developer%20OR%20Backend%20Developer%20OR%20Frontend%20Developer)%20AND%20(Entry%20Level%20OR%20New%20Grad%20OR%20Junior%20OR%20Recent%20Graduate)&origin=JOB_COLLECTION_PAGE_KEYWORD_HISTORY&refresh=true"
"harborai","(17) (Software Engineer OR Software Developer OR Full Stack Developer OR Backend Developer OR Frontend Developer) AND (Entry Level OR New Grad OR Junior OR Recent Graduate) Jobs","2026-01-06T00:03:10.014Z","https://www.linkedin.com/jobs/search/?currentJobId=4346751515&distance=25&geoId=103644278&keywords=(Software%20Engineer%20OR%20Software%20Developer%20OR%20Full%20Stack%20Developer%20OR%20Backend%20Developer%20OR%20Frontend%20Developer)%20AND%20(Entry%20Level%20OR%20New%20Grad%20OR%20Junior%20OR%20Recent%20Graduate)&origin=JOB_COLLECTION_PAGE_KEYWORD_HISTORY&refresh=true"
"Software Engineer I","Job Application for Software Engineer I at Twitch","2026-01-07T02:52:22.180Z","https://job-boards.greenhouse.io/twitch/jobs/8334351002?utm_source=Simplify&ref=Simplify"
"Software Engineer I","Job Application for Software Engineer I at Twitch","2026-01-07T03:17:50.271Z","https://job-boards.greenhouse.io/twitch/jobs/8360103002?utm_source=Simplify&ref=Simplify"
"Careers","Software Engineer I","2026-01-07T03:20:42.057Z","https://ultra.wd3.myworkdayjobs.com/en-US/ultra-careers/job/Software-Engineer-I_REQ-11278"
"Spruce","Full Stack SWE","2026-01-07T03:21:18.816Z","https://jobs.lever.co/sprucesystems/c683a712-7a5a-4bed-b580-f899998f044a/apply?utm_source=Simplify&ref=Simplify"
"Software Engineer (entry-level)","Software Engineer (entry","2026-01-07T03:24:33.844Z","https://cognition.isolvedhire.com/jobs/1679568"
"AMERICAN SYSTEMS","Software Engineer I in Bethesda, Maryland","2026-01-07T03:28:59.959Z","https://careers-americansystems.icims.com/jobs/3850/software-engineer-i/job?mode=submit_apply"
"Amentum","Entry Level Software Engineer","2026-01-07T03:32:02.875Z","https://pae.wd1.myworkdayjobs.com/en-US/amentum_careers/job/Entry-Level-Software-Engineer_R0151272"
"Cox","Software Engineer I","2026-01-07T03:36:44.694Z","https://cox.wd1.myworkdayjobs.com/en-US/Cox_External_Career_Site_1/job/Software-Engineer-I_R202671483"
"Walmart","SWE 1","2026-01-07T03:38:08.440Z","https://utdallas.joinhandshake.com/job-search/10577724?jobType=9&employmentTypes=1&jobRoleGroups=64&jobRoleGroups=65&locationFilter=%7B%22distance%22%3A%2250mi%22%2C%22point%22%3A%2232.776664%2C-96.796988%22%2C%22label%22%3A%22Dallas%2C+TX%22%2C%22text%22%3A%22Dallas%22%7D&locationFilter=%7B%22distance%22%3A%2250mi%22%2C%22point%22%3A%2240.712784%2C-74.005941%22%2C%22label%22%3A%22New+York%2C+NY%22%2C%22text%22%3A%22New+York%22%7D&locationFilter=%7B%22distance%22%3A%2250mi%22%2C%22point%22%3A%2234.052234%2C-118.243685%22%2C%22label%22%3A%22Los+Angeles%2C+CA%22%2C%22text%22%3A%22Los+Angeles%22%7D&locationFilter=%7B%22distance%22%3A%2250mi%22%2C%22point%22%3A%2229.760427%2C-95.369803%22%2C%22label%22%3A%22Houston%2C+TX%22%2C%22text%22%3A%22Houston%22%7D&locationFilter=%7B%22distance%22%3A%2250mi%22%2C%22point%22%3A%2247.606209%2C-122.332071%22%2C%22label%22%3A%22Seattle%2C+WA%22%2C%22text%22%3A%22Seattle%22%7D&locationFilter=%7B%22distance%22%3A%2250mi%22%2C%22point%22%3A%2242.360082%2C-71.05888%22%2C%22label%22%3A%22Boston%2C+MA%22%2C%22text%22%3A%22Boston%22%7D&locationFilter=%7B%22distance%22%3A%2250mi%22%2C%22point%22%3A%2233.748995%2C-84.387982%22%2C%22label%22%3A%22Atlanta%2C+GA%22%2C%22text%22%3A%22Atlanta%22%7D&locationFilter=%7B%22distance%22%3A%2250mi%22%2C%22point%22%3A%2233.2175%2C-97.1418%22%2C%22label%22%3A%22Denton%2C+TX%22%2C%22text%22%3A%22Denton%22%7D&locationFilter=%7B%22distance%22%3A%2250mi%22%2C%22point%22%3A%2232.7817%2C-97.3474%22%2C%22label%22%3A%22Fort+Worth%2C+TX%22%2C%22text%22%3A%22Fort+Worth%22%7D&locationFilter=%7B%22distance%22%3A%2250mi%22%2C%22point%22%3A%2237.774929%2C-122.419415%22%2C%22label%22%3A%22San+Francisco%2C+CA%22%2C%22text%22%3A%22San+Francisco%22%7D&locationFilter=%7B%22distance%22%3A%2250mi%22%2C%22point%22%3A%2239.741681%2C-104.986109%22%2C%22label%22%3A%22Denver%2C+CO%22%2C%22text%22%3A%22Denver%22%7D&page=1&per_page=25"
"Virtalica","SWE","2026-01-07T03:39:54.041Z","https://utdallas.joinhandshake.com/job-search/10390775?jobType=9&employmentTypes=1&jobRoleGroups=64&jobRoleGroups=65&locationFilter=%7B%22distance%22%3A%2250mi%22%2C%22point%22%3A%2232.776664%2C-96.796988%22%2C%22label%22%3A%22Dallas%2C+TX%22%2C%22text%22%3A%22Dallas%22%7D&locationFilter=%7B%22distance%22%3A%2250mi%22%2C%22point%22%3A%2240.712784%2C-74.005941%22%2C%22label%22%3A%22New+York%2C+NY%22%2C%22text%22%3A%22New+York%22%7D&locationFilter=%7B%22distance%22%3A%2250mi%22%2C%22point%22%3A%2234.052234%2C-118.243685%22%2C%22label%22%3A%22Los+Angeles%2C+CA%22%2C%22text%22%3A%22Los+Angeles%22%7D&locationFilter=%7B%22distance%22%3A%2250mi%22%2C%22point%22%3A%2229.760427%2C-95.369803%22%2C%22label%22%3A%22Houston%2C+TX%22%2C%22text%22%3A%22Houston%22%7D&locationFilter=%7B%22distance%22%3A%2250mi%22%2C%22point%22%3A%2247.606209%2C-122.332071%22%2C%22label%22%3A%22Seattle%2C+WA%22%2C%22text%22%3A%22Seattle%22%7D&locationFilter=%7B%22distance%22%3A%2250mi%22%2C%22point%22%3A%2242.360082%2C-71.05888%22%2C%22label%22%3A%22Boston%2C+MA%22%2C%22text%22%3A%22Boston%22%7D&locationFilter=%7B%22distance%22%3A%2250mi%22%2C%22point%22%3A%2233.748995%2C-84.387982%22%2C%22label%22%3A%22Atlanta%2C+GA%22%2C%22text%22%3A%22Atlanta%22%7D&locationFilter=%7B%22distance%22%3A%2250mi%22%2C%22point%22%3A%2233.2175%2C-97.1418%22%2C%22label%22%3A%22Denton%2C+TX%22%2C%22text%22%3A%22Denton%22%7D&locationFilter=%7B%22distance%22%3A%2250mi%22%2C%22point%22%3A%2232.7817%2C-97.3474%22%2C%22label%22%3A%22Fort+Worth%2C+TX%22%2C%22text%22%3A%22Fort+Worth%22%7D&locationFilter=%7B%22distance%22%3A%2250mi%22%2C%22point%22%3A%2237.774929%2C-122.419415%22%2C%22label%22%3A%22San+Francisco%2C+CA%22%2C%22text%22%3A%22San+Francisco%22%7D&locationFilter=%7B%22distance%22%3A%2250mi%22%2C%22point%22%3A%2239.741681%2C-104.986109%22%2C%22label%22%3A%22Denver%2C+CO%22%2C%22text%22%3A%22Denver%22%7D&page=1&per_page=25"
"ADVANTEST","Software Engineer AI/ML","2026-01-07T03:40:57.229Z","https://utdallas.joinhandshake.com/job-search/10588470?jobType=9&employmentTypes=1&jobRoleGroups=64&jobRoleGroups=65&locationFilter=%7B%22distance%22%3A%2250mi%22%2C%22point%22%3A%2232.776664%2C-96.796988%22%2C%22label%22%3A%22Dallas%2C+TX%22%2C%22text%22%3A%22Dallas%22%7D&locationFilter=%7B%22distance%22%3A%2250mi%22%2C%22point%22%3A%2240.712784%2C-74.005941%22%2C%22label%22%3A%22New+York%2C+NY%22%2C%22text%22%3A%22New+York%22%7D&locationFilter=%7B%22distance%22%3A%2250mi%22%2C%22point%22%3A%2234.052234%2C-118.243685%22%2C%22label%22%3A%22Los+Angeles%2C+CA%22%2C%22text%22%3A%22Los+Angeles%22%7D&locationFilter=%7B%22distance%22%3A%2250mi%22%2C%22point%22%3A%2229.760427%2C-95.369803%22%2C%22label%22%3A%22Houston%2C+TX%22%2C%22text%22%3A%22Houston%22%7D&locationFilter=%7B%22distance%22%3A%2250mi%22%2C%22point%22%3A%2247.606209%2C-122.332071%22%2C%22label%22%3A%22Seattle%2C+WA%22%2C%22text%22%3A%22Seattle%22%7D&locationFilter=%7B%22distance%22%3A%2250mi%22%2C%22point%22%3A%2242.360082%2C-71.05888%22%2C%22label%22%3A%22Boston%2C+MA%22%2C%22text%22%3A%22Boston%22%7D&locationFilter=%7B%22distance%22%3A%2250mi%22%2C%22point%22%3A%2233.748995%2C-84.387982%22%2C%22label%22%3A%22Atlanta%2C+GA%22%2C%22text%22%3A%22Atlanta%22%7D&locationFilter=%7B%22distance%22%3A%2250mi%22%2C%22point%22%3A%2233.2175%2C-97.1418%22%2C%22label%22%3A%22Denton%2C+TX%22%2C%22text%22%3A%22Denton%22%7D&locationFilter=%7B%22distance%22%3A%2250mi%22%2C%22point%22%3A%2232.7817%2C-97.3474%22%2C%22label%22%3A%22Fort+Worth%2C+TX%22%2C%22text%22%3A%22Fort+Worth%22%7D&locationFilter=%7B%22distance%22%3A%2250mi%22%2C%22point%22%3A%2237.774929%2C-122.419415%22%2C%22label%22%3A%22San+Francisco%2C+CA%22%2C%22text%22%3A%22San+Francisco%22%7D&locationFilter=%7B%22distance%22%3A%2250mi%22%2C%22point%22%3A%2239.741681%2C-104.986109%22%2C%22label%22%3A%22Denver%2C+CO%22%2C%22text%22%3A%22Denver%22%7D&page=1&per_page=25"
"IBM","Associate Developer 2026","2026-01-07T03:43:38.865Z","https://ibmglobal.avature.net/en_US/careers/JobDetail?jobId=54830&source=Handshake&tags=tas_americas_naidelyn&gh_src=Handshake&iisn=Handshake&iis=Handshake&src=Handshake&ref=Handshake&utm_medium=Handshake&referral=Handshake&utm_source=Handshake&__jvst=Handshake&__jvsd=Handshake&sourceDetails=Handshake&trid=Handshake&lever-source=Array&Source=Handshake&rb=Handshake&jobBoardSource=Handshake&channel=Handshake&rcid=Handshake&user=&formValues="
"IBM","Entry Level Technical Support Professional","2026-01-07T03:49:12.856Z","https://ibmglobal.avature.net/en_US/careers/JobDetail?jobId=80031&source=DS_Handshake&tags=tas_americas_gimena&user=&formValues="
"IBM","Entry Level Back End Developer 2026","2026-01-07T03:53:22.620Z","https://ibmglobal.avature.net/en_US/careers/JobDetail?jobId=55110&source=DS_Handshake&tags=tas_americas_jourguen&user=&formValues="
"IBM","Entry Level Software Developer 2026: SVL","2026-01-07T04:00:54.828Z","https://ibmglobal.avature.net/en_US/careers/JobDetail?jobId=73407&source=DS_Handshake&tags=tas_americas_gimena&user=&formValues="
"Cisco","Software Engineer I (Co","2026-01-07T04:04:44.064Z","https://careers.cisco.com/global/en/job/CISCISGLOBAL2004856EXTERNALENGLOBAL/Software-Engineer-I-Co-op-United-States?utm_source=jobright&utm_medium=phenom-feeds"
"LockHeed Martin","SWE Associate","2026-01-07T04:09:51.621Z","https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25037&siteid=5010&jobId=834761&codes=ZA646&utm_campaign=LM_Space&utm_term=rm&utm_source=jobright&utm_medium=Internet-Board#applicationDetail"
"Junior Software Engineer","Junior Software Engineer @ Mechanize Inc.","2026-01-08T15:15:57.126Z","https://jobs.ashbyhq.com/mechanize/b50c89dc-001c-4fb6-a4fc-a9f52f35b490?utm_source=Simplify&ref=Simplify"
"Software Engineer I, Builder Frameworks","Job Application for Software Engineer I, Builder Frameworks at Twitch","2026-01-08T15:18:06.182Z","https://job-boards.greenhouse.io/twitch/jobs/8362817002?utm_source=Simplify&ref=Simplify"
"RTX","Software Engineer I (Hybrid)","2026-01-08T15:59:08.390Z","https://globalhr.wd5.myworkdayjobs.com/en-US/rec_rtx_ext_gateway/job/Software-Engineer-I--Hybrid-_01810300"
"Junior Software Engineer","Junior Software Engineer","2026-01-08T16:09:41.765Z","https://jobs.smartrecruiters.com/oneclick-ui/company/Visa/publication/485e80e4-194c-4657-8977-548215b1cf46/success?dcr_ci=Visa"
"Etsy Careers","Software Engineer I, Core Data","2026-01-08T16:11:48.769Z","https://etsy.wd5.myworkdayjobs.com/en-US/Etsy_Careers/job/Senior-Software-Engineer-I--Core-Data_JR5236"
"General Dynamics","SWE 1","2026-01-08T16:14:07.836Z","https://careers-gdms.icims.com/jobs/70083/software-engineer-%e2%80%93-entry-level/job?mode=submit_apply"
"The MITRE Corporation","Entry Level","2026-01-08T16:21:18.339Z","https://careers.mitre.org/us/en/job/MITRUSR115842EXTERNALENUS/Entry-Level-Associate-Software-Developer?utm_source=JB-10062&utm_medium=phenom-feeds"
"Boeing","Associate Software Engineer","2026-01-08T16:31:15.381Z","https://boeing.wd1.myworkdayjobs.com/en-US/EXTERNAL_CAREERS/job/Associate-Software-Engineer_JR2025489047-1"
"IXL Learning","Software Engineer, New Grad","2026-01-08T16:34:12.201Z","https://www.ixl.com/company/careers/apply?gh_jid=8364765002&gh_src=9ab9c2a12"
"Software Engineer I - Direct Issuance (New Grad)","Job Application for Software Engineer I","2026-01-11T02:20:10.480Z","https://job-boards.eu.greenhouse.io/stubhubinc/jobs/4749965101?utm_source=Simplify&ref=Simplify"
"IXL Learning","SWE New grad","2026-01-11T02:21:53.224Z","https://www.ixl.com/company/careers/apply?gh_jid=8364797002"
"Stubhub","Software Engineer I - Direct Issuance (New Grad)","2026-01-14T05:56:18.611Z","https://job-boards.eu.greenhouse.io/stubhubinc/jobs/4749965101"
"Software Engineer, New Grad (2026 Start)","Software Engineer, New Grad (2026 Start) @ Zip","2026-01-14T06:05:14.377Z","https://jobs.ashbyhq.com/zip/ec19389b-6943-4ba8-8060-ac6bdfa23987/application?utm_source=Simplify&ref=Simplify"
"Software Engineer (New Grad Program)","Job Application for Software Engineer (New Grad Program) at Sigma Computing","2026-01-14T06:06:43.475Z","https://job-boards.greenhouse.io/sigmacomputing/jobs/7587162003"
"Software Engineer, New College Grad - 2026, Foster City","Software Engineer, New College Grad","2026-01-14T06:08:57.542Z","https://jobs.smartrecruiters.com/oneclick-ui/company/Visa/publication/84ff6bec-f1b1-4410-9efb-130927bc2316/success?dcr_ci=Visa"
